location,company,city,state,commodity,bidType,deliveryStart,deliveryEnd,futuresSymbol,basis,cashPrice
Baldwin,"Midwest Commodity Service, Inc.",Baldwin,WI,Corn,cash,September,September,,-0.65,4.67
Baldwin,"Midwest Commodity Service, Inc.",Baldwin,WI,Corn,cash,October,October,,-0.72,4.60
Baldwin,"Midwest Commodity Service, Inc.",Baldwin,WI,Corn,cash,November,November,,-0.55,4.77
Baldwin,"Midwest Commodity Service, Inc.",Baldwin,WI,Corn,cash,December,December,,-0.50,4.82
Baldwin,"Midwest Commodity Service, Inc.",Baldwin,WI,Corn,cash,January,January,,-0.60,4.88
Baldwin,"Midwest Commodity Service, Inc.",Baldwin,WI,Corn,cash,February,February,,-0.58,4.90
Baldwin,"Midwest Commodity Service, Inc.",Baldwin,WI,Corn,cash,March,March,,-0.50,4.98
Baldwin,"Midwest Commodity Service, Inc.",Baldwin,WI,Corn,cash,April,April,,-0.54,5.02
Baldwin,"Midwest Commodity Service, Inc.",Baldwin,WI,Corn,cash,May,May,,-0.52,5.04
Baldwin,"Midwest Commodity Service, Inc.",Baldwin,WI,Corn,cash,June,June,,-0.52,5.06
Baldwin,"Midwest Commodity Service, Inc.",Baldwin,WI,Corn,cash,July,July,,-0.52,5.06
